2,Era,#:,Song Title,Credited Artist(s):,Producer(s):,Engineer(s):,Additional Information:,File Name(s) | Metadata:,Instrumental Name(s):,Recording Location(s):,Record Date(s):,Preview Date:,Date(s):,Duration,Category:,Available Files:
76,ND </3,1,Act Right (with RoadRunner GDo) Too Over Attached,Juice WRLD & RoadRunner GDo,Dorien Theus,RoadRunner GDo,"Originally released on SoundCloud for RoadRunner GDo's 'Minor Stepbacks', but was later removed for unknown reasons.",Act Right (Final Draft),Instrumental: Divide UT 161 Loop Stems: Divide,"RoadRunner GDo's Home Recording Studio, Country Club Hills, Chicago, IL.",-,"First Previewed December 3, 2017.","Released December 20, 2017.",2:50,Single Track ( Complete ),Original File 257kbps (.m4a)
77,ND </3,2,All Burnt Up (v1) Anti,Juice WRLD,Dez Wright & Nick Mira,Juice WRLD,"Song is unfinished, contains an open verse.",File Name: Markee Session Session Title (1): anti.ptx Session Title (2): all burnt up.ptx,Instrumental: NM x DW - Treat 147 BPM Beat Pack: 11.25.17 Juice,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 4, 2017.",-,"Surfaced March 1, 2022. Session Surfaced January 25, 2026.",3:42,Original Demo Track ( Open Verse ),Studio Session & Original File 320kbps (.mp3)
78,ND </3,3,All Burnt Up (v2) Anti,Juice WRLD,Dez Wright & Nick Mira,Juice WRLD,"Song is unfinished, contains an open verse.",File Name: Markee Session_1 Session Title (1): anti.ptx Session Title (2): all burnt up.ptx Folder Title: anti,Instrumental: NM x DW - Treat 147 BPM Beat Pack: 11.25.17 Juice,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 4, 2017.",-,"Surfaced December 24, 2025. Session Surfaced January 25, 2026.",3:42,Alternate Demo Track ( Open Verse ),Studio Session & Original File 320kbps (.mp3)
79,ND </3,4,Champagne*,Juice WRLD,Nick Mira & The Saint S,Gary Walker,-,,Instrumental: NM x S - Valhalla 150BPM Beat Pack: juice december,"Columbia College University Center Dormitory Recording Studio, South Loop, Chicago, IL.","Recorded December 15-16, 2017.","First Teased December 14, 2017.","Surfaced January 25, 2026.",3:12,Throwaway Track ( Complete ),320kbps (.mp3)
80,ND </3,5,DARK PLACE (demo) Feeling Myself,Juice WRLD,Daniel Cripps & ManuelG,Juice WRLD,"Originally released on SoundCloud as track #2 on 'NOTHING'S DIFFERENT </3', but was later removed for unknown reasons. Samples Daniel Cripps' 'Emotional Song'. Shares the same instrumental as 'Doomed For Life*'.",File Name: dark place Session Title: feeling myself.ptx Folder Title: Feeling Myself,Sad Guitar Song HQ :'(,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 11, 2017.",-,"Released December 22, 2017. Session Surfaced December 2, 2023.",2:26,EP Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
81,ND </3,6,Don't Know What I'm On (v1) Don't Know What I Know Song was originally called 'Feelin' (They Don't Know)'.,Juice WRLD,Dez Wright & Nick Mira,Juice WRLD,-,File Name: dont know what i know mp3 Session Title (1): feelin.ptx Session Title (2): feelin (they dont know).ptx Folder Title: Don't Know What I Know,Instrumental: NM x DW - Feelin 148BPM Beat Pack: 11.25.17 Juice,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 20, 2017.","First Previewed December 20, 2017. First Teased December 20, 2017.","Surfaced July 3, 2022. Session Surfaced December 17, 2023.",4:58,Original Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
82,ND </3,7,Don't Know What I'm On (v2) Don't Know What I Know Song was originally called 'Feelin' (They Don't Know)'.,Juice WRLD,Dez Wright & Nick Mira,Juice WRLD,-,File Name: dont know what im on new mix Session Title (1): feelin.ptx Session Title (2): feelin (they dont know).ptx Folder Title: Don't Know What I Know,Instrumental: NM x DW - Feelin 148BPM Beat Pack: 11.25.17 Juice,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 20, 2017.",-,"Surfaced January 15, 2019. Session Surfaced December 17, 2023.",4:58,Alternate Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
83,ND </3,8,Don't Know What I'm On (v3) Don't Know What I Know Song was originally called 'Feelin' (They Don't Know)'.,Juice WRLD,Dez Wright & Nick Mira,Juice WRLD,-,File Name: dont know what im on final mix Session Title (1): feelin.ptx Session Title (2): feelin (they dont know).ptx Folder Title: Don't Know What I Know,Instrumental: NM x DW - Feelin 148BPM Beat Pack: 11.25.17 Juice,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 20, 2017.",-,"Surfaced February 16, 2023. Session Surfaced December 17, 2023.",4:58,Alternate Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
84,ND </3,9,Drunk (Pt. 2) Withdrawals,Juice WRLD,Nick Mira & Gary Walker,Gary Walker,Shares the same instrumental as 'Psychedelics'.,File Name: Drunk Part 2_mixdown Session Title: Drunk Part 2.sesx,Instrumental: NM - Sore 144BPM Beat Pack: juice december,"Columbia College University Center Dormitory Recording Studio, South Loop, Chicago, IL.","Recorded December 15-16, 2017.","First Previewed September 9, 2020.","Surfaced April 22, 2022.",3:22,Throwaway Track ( Complete ),Original File 192kbps (.mp3)
85,ND </3,10,Freestyle Buckle My Shoe,Juice WRLD,Dorien Theus,Unknown,-,FREESYLE,beam 143,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.",-,-,"Surfaced October 22, 2020.",3:07,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
86,ND </3,11,Go Home,Juice WRLD,Nick Mira,Unknown,-,go home,Instrumental: Digital [Untagged] 112 Loop: DigitalLife 131 Loop Kit: Nick Mira - Valkyrie,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.",-,"First Previewed November 24, 2019.","Surfaced July 2, 2020.",3:43,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
87,ND </3,12,Insanity Like This | No Vanity,Juice WRLD,JRHITMAKER & Nick Mira,Juice WRLD,-,File Name: Markee Session Session Title (1): like this.ptx Session Title (2): insanity.ptx Folder Title: like this,Instrumental: NM x JR - Christian 158 BPM MIDI: Delta Beat Pack: 11.25.17 Juice,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 4, 2017.","First Previewed December 6, 2017.","Surfaced March 3, 2022. Session Surfaced January 25, 2026.",3:14,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
88,ND </3,13,Let Me Go 999 | Left Me Cold,Juice WRLD,E-Trou & Nick Mira,Juice WRLD,"Song is unfinished, contains an open verse.",File Name: let me go Session Title: 999.ptx,Instrumental: NM - Rose 146 BPM Loop: FuxThisUp 138bpm Loop Kit: E-Trou - Paracosm Beat Pack: 11.25.17 Juice,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 2, 2017.","First Previewed January 4, 2018.","Surfaced December 15, 2025.",4:09,Throwaway Track ( Open Verse ),Original File 320kbps (.mp3)
89,ND </3,14,Like That,Juice WRLD,Dez Wright & Nick Mira,Gary Walker,-,File Name: Like That_mixdown Session Title: Like That.sesx,Loop: ex 150bpm Loop Kit: Dez Wright - Wildflower Beat Pack: 11.25.17 Juice,"Columbia College University Center Dormitory Recording Studio, South Loop, Chicago, IL.","Recorded December 16, 2017.",-,"Surfaced May 10, 2024.",3:51,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
90,ND </3,15,Lost Myself Kiss And Tell Song is titled after the instrumental.,Juice WRLD,The Beat Asylum,Juice WRLD,-,File Name: LOST MY SELF Session Title: LOST MYSELF.ptx,LOST MYSELF BPM120,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 4, 2017. File Exported January 17, 2023.","First Previewed January 17, 2023.","Surfaced July 12, 2025. Session Surfaced July 12, 2025.",3:29,Throwaway Track ( Complete ),Studio Session & Original File 2117kbps (.wav)
91,ND </3,16,Make It Sell,Juice WRLD,Nick Mira,Romel Williams,Shares the same instrumental as 'Take No Chance'.,MAKE IT SELL,Instrumental: NM - Forever 160 BPM Beat Pack: Juice August Pack,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded November 19, 2017.","First Previewed January 7, 2018.","Surfaced June 27, 2018.",3:00,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
92,ND </3,17,Miracle* Spiritual,Juice WRLD,Dorien Theus & Klimax Productions,Juice WRLD,Shares the same instrumental as 'Shoot For Love'.,Session Title: juice.ptx,"Instrumental (1): Lift UT 158 Instrumental (2): Tory Lanez Type Beat - ""Lift"" (Prod. by Klimax Productions x Sidepce) 2017","Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 2, 2017.","First Previewed December 2, 2017.","Surfaced January 24, 2026. Session Surfaced January 25, 2026.",2:47,Throwaway Track ( Complete ),Studio Session & Pro Tools Export
93,ND </3,18,"No Love, No Trust 999 (v1) Trust No One ( Pt. 1 ) | Trust No One, Love No One 999 </3 Song was originally called 'No Love, No Trust'.",Juice WRLD,The Beat Asylum,Juice WRLD,-,File Name: no love no trust Session Title: Auto Dot.ptx Folder Title: no love x love myself,BETS BELIEVE BPM141,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded November 22-23, 2017.","First Previewed November 23, 2017. First Teased November 23, 2017.","Surfaced January 25, 2026. Session Surfaced October 13, 2025.",3:05,Original Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
94,ND </3,19,"No Love, No Trust 999 (v2) Trust No One ( Pt. 1 ) | Trust No One, Love No One 999 </3 Song was originally called 'No Love, No Trust'.",Juice WRLD,The Beat Asylum,Juice WRLD,-,File Name: no love no trust_1 Session Title: Auto Dot.ptx Folder Title: no love x love myself,BETS BELIEVE BPM141,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded November 22-23, 2017.",-,"Surfaced July 7, 2019. Session Surfaced October 13, 2025.",3:04,Alternate Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
95,ND </3,20,No Smoke (v1) Get Smoked Song was originally called 'You Want Smoke?'.,Juice WRLD,Dorien Theus,Juice WRLD,Shares the same instrumental as 'Break'.,File Name: NO SMOKE Session Title: you want smoke.ptx Folder Title: Wathca Doin,Instrumental: Break UT 165 Loop: sauceitdown 155,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 10-19, 2017.",-,"Surfaced October 12, 2023. Session Surfaced December 2, 2023.",2:07,Original Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
96,ND </3,21,No Smoke (v2) Get Smoked Song was originally called 'You Want Smoke?'.,Juice WRLD,Dorien Theus,Juice WRLD,Shares the same instrumental as 'Break'.,File Name: NO SMOKE new mix Session Title: you want smoke.ptx Folder Title: Wathca Doin,Instrumental: Break UT 165 Loop: sauceitdown 155,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 10-19, 2017.",-,"Surfaced November 22, 2024. Session Surfaced December 2, 2023.",2:07,Alternate Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
97,ND </3,22,OK Leave Me Alone | Okay,Juice WRLD,Nick Mira & VONDORK,Romel Williams,-,OK,Instrumental: NM - Loser 155BPM Loop: ALIVE -Guitar Beat Pack: 11.25.17 Juice,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded November 19, 2017.",-,"Surfaced August 9, 2018.",4:14,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
98,ND </3,23,On And On (v1),Juice WRLD,Dorien Theus & Nick Mira,Juice WRLD,Shares the same instrumental as 'I Can't Remember'.,File Name: on and on Session Title: droptop..ptx Folder Title: Droptop,Instrumental: Droptop 150 BPM Loop Stems: Dreemvill Loop Kit: DT - Elegance Beat Pack: 11.25.17 Juice,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 10-19, 2017.",-,"Surfaced April 10, 2023. Session Surfaced December 3, 2023.",3:15,Original Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
99,ND </3,24,On And On (v2),Juice WRLD,Dorien Theus & Nick Mira,Juice WRLD,Shares the same instrumental as 'I Can't Remember'.,File Name: on and on new mix Session Title: droptop..ptx Folder Title: Droptop,Instrumental: Droptop 150 BPM Loop Stems: Dreemvill Loop Kit: DT - Elegance Beat Pack: 11.25.17 Juice,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 10-19, 2017.","First Previewed April 10, 2021.","Surfaced May 6, 2021. Session Surfaced December 3, 2023.",3:15,Alternate Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
100,ND </3,25,Out My Face (v1) Arrow | Going M.I.A | M.I.A,Juice WRLD,Nick Mira,Juice WRLD,-,File Name: Markee Session Session Title: arrow.ptx Folder Title: Arrow,Instrumental: NM - Arrow 85 BPM Beat Pack: 11.25.17 Juice,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 20, 2017.","First Previewed December 20, 2017.","Surfaced October 10, 2023. Session Surfaced October 10, 2023.",3:00,Original Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
101,ND </3,26,Realize (v1),Juice WRLD,The Beat Asylum,Juice WRLD,"Song is unfinished, contains an open verse.",File Name: rrealize Session Title: realize.ptx,flex21,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 11, 2017.","First Previewed December [ ? ], 2017. First Teased January 9, 2018.","Surfaced February 26, 2023. Session Surfaced September 13, 2023.",3:38,Original Demo Track ( Open Verse ),Studio Session & Original File 320kbps (.mp3)
102,ND </3,27,Thank Me Later Hate Me Later,Juice WRLD,Dorien Theus & Nick Mira,Juice WRLD,"Song is unfinished, contains an open verse.",File Name: Markee Session Session Title: Auto Dot.ptx,Instrumental: DT x NM - Breeze 150 Loop: nick mira - unknownism 140bpm,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 3, 2017.","First Previewed March 19, 2025.","Surfaced October 28, 2025. Session Surfaced January 14, 2026.",4:41,Throwaway Track ( Open Verse ),Studio Session & Original File 320kbps (.mp3)
103,ND </3,28,Too Far (v1),Juice WRLD,Nick Mira,Juice WRLD,Shares the same instrumental as 'Track Race'.,File Name: too far Session Title: NM RANCH TOO FAR.ptx Folder Title: Ranch,Instrumental: NM - Ranch 167 BPM Loop Stems: Nick Mira - Return 167 BPM Beat Pack: Juice August Pack,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 11, 2017. File Exported December 11, 2017.",-,"Surfaced December 1, 2023. Session Surfaced December 3, 2023.",1:59,Original Demo Track ( Complete ),Studio Session & Original File 2117kbps (.wav)
104,ND </3,29,Too Far (v2),Juice WRLD,Nick Mira,Juice WRLD,Shares the same instrumental as 'Track Race'.,File Name: too far_1 Session Title: NM RANCH TOO FAR.ptx Folder Title: Ranch,Instrumental: NM - Ranch 167 BPM Loop Stems: Nick Mira - Return 167 BPM Beat Pack: Juice August Pack,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 11, 2017.",-,"Surfaced May 21, 2018. Session Surfaced December 3, 2023.",2:05,Alternate Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
105,ND </3,30,Triple 9 999 | Sipping 999,Juice WRLD,Nick Mira,Marcus Gibson,Within the file metadata it mentions that Pollari was meant to be the featured artist over the open verse.,Triple 9 _ 1st Mix Open Verse_1,Instrumental: NM - Outside 145 BPM Beat Pack: 11.25.17 Juice,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded November 27, 2017.","First Previewed January 7, 2018. First Teased November 27, 2017.","Surfaced December 30, 2021.",3:35,Original Solo Demo Track ( Open Verse ),Original File 320kbps (.mp3)
107,ND </3,1,Believe In Me (with Joey88) [v1],Juice WRLD & Joey88,Joey88,Juice WRLD,"Song is unfinished, contains an open verse.",Session Title: believe in me.ptx Folder Title: Believe In Me,100BPM,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 11, 2017.","First Previewed October 23, 2023.","Surfaced November 28, 2023. Session Surfaced May 18, 2024.",3:12,Original Demo Track ( Unexported ) [ Open Verse ],Studio Session & Pro Tools Export
108,ND </3,2,Break Song is untitled.,Juice WRLD,Dorien Theus,Juice WRLD,Shares the same instrumental as 'No Smoke'.,Session Title: Auto Dot.ptx,Instrumental: Break UT 165 Loop: sauceitdown 155,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 2-3, 2017.",-,"Surfaced December 8, 2025. Session Surfaced January 14, 2026.",4:04,Scrapped Track ( Unexported ) [ Empty Project File ],Studio Session & Pro Tools Edit
109,ND </3,3,I Can't Remember Warm,Juice WRLD,Dorien Theus & Nick Mira,Juice WRLD,"Shares the same instrumental as 'On And On'. Song is unfinished, hook only.",Session Title: i cant remember.ptx,Instrumental: Droptop 150 BPM Loop Stems: Dreemvill Loop Kit: DT - Elegance Beat Pack: 11.25.17 Juice,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 4, 2017.",-,"Surfaced December 15, 2025. Session Surfaced January 25, 2026.",4:03,Throwaway Track ( Unexported ) [ Hook Only ],Studio Session & Pro Tools Export
110,ND </3,4,Move The Bale (with Unhkl Flex) [v1] Song was originally called 'The Bale'.,Juice WRLD & Unhkl Flex,Joey88,Juice WRLD,-,Session Title: move the bell.ptx Folder Title: Move The Bell,the bell juice and alfred,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 16, 2017.",-,"Surfaced January 25, 2026. Session Surfaced January 25, 2026.",2:33,Scrapped Original Demo Track ( Unexported ) [ Empty Project File ],Studio Session & Pro Tools Edit
111,ND </3,5,Soldier Song is untitled.,Juice WRLD,Nick Mira & Robin Guthrie,Juice WRLD,Shares the same sample as Kali's 'Przeznaczenie'.,Session Title: 11-11-17.ptx Folder Title: soldier,Instrumental (1): Soldier 131 BPM_Master Instrumental (2): 24hrs Type Beat - Soldier (Prod. Bricc Flair) Loop: Robin Guthrie - Elemental,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded November 22, 2017.","First Previewed November 23, 2017.","Surfaced January 25, 2026. Session Surfaced January 25, 2026.",4:25,Scrapped Track ( Unexported ) [ Open Verse ],Studio Session & Pro Tools Export
113,GB&GR,1,27 Club (v1) Show Me Love,Juice WRLD,Mitch Mula,Mitch Mula,-,27 Club,,"Private Stock Recording Studio, Mayfair, Chicago, IL.",-,-,"Surfaced October 5, 2020.",2:08,Original Demo Track ( Complete ),Original File 320kbps (.mp3)
114,GB&GR,2,734 (v1) 7.3.4 | 7/3/4 | Think Too Much,Juice WRLD,InpyJK & Nick Mira,BJ Mekk,-,File Name: Juice WRLD - 7.3.4 Session Title: Juice Wrld - 7/3/4.ptx,Instrumental: NM - Morgue 157BPM Loop: Guitar Theme Beat Pack: NM - Juice 5.16,"Paramount Ameraycan Recording Studio, North Hollywood, Los Angeles, CA.","Recorded May 21-22, 2018. File Exported May 25, 2018.",-,"Surfaced December 29, 2020. Session Surfaced December 29, 2020.",3:15,Original Demo Track ( Complete ),Studio Session & Original Files 3072kbps (.wav) 320kbps (.mp3)
115,GB&GR,3,911* Overdose Song is untitled.,Juice WRLD,Dorien Theus,Blake Harden & James Kang,"Song is unfinished, contains an open verse.",File Name: Juice Wrld_6 Session Title: Juice Wrld_6.ptx,DT - Paralyze 161,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded May 6, 2018.","First Previewed May 6, 2018.","Surfaced June 24, 2018. Session Surfaced September 26, 2025.",3:22,Throwaway Track ( Open Verse ),Studio Session & Original File 320kbps (.mp3)
